timestamp,Price,Return,MarketDate,UpdatedAt
2025-11-27 16:39:44.112066,91527,,2025-11-27,2025-11-27 16:39:44
2025-11-27 16:42:14.360410,91544,0.000185737541927411,2025-11-27,2025-11-27 16:42:14
2025-11-27 16:44:20.392577,91548,4.369483527044693e-05,2025-11-27,2025-11-27 16:44:20
2025-11-27 16:47:19.984611,91537,-0.00012015554681699125,2025-11-27,2025-11-27 16:47:19
2025-11-27 16:50:20.005048,91549,0.00013109453008075533,2025-11-27,2025-11-27 16:50:20
2025-11-27 16:53:20.009174,91496,-0.0005789249472959446,2025-11-27,2025-11-27 16:53:20
2025-11-27 17:11:47.852284,91358,-0.001508262656291004,2025-11-27,2025-11-27 17:11:47
2025-11-27 17:14:47.306195,91370,0.0001313513868517191,2025-11-27,2025-11-27 17:14:47
2025-11-27 17:15:48.705464,91424,0.000591003611688734,2025-11-27,2025-11-27 17:15:48
2025-11-27 17:18:29.613443,91500,0.0008312915645782848,2025-11-27,2025-11-27 17:18:29
2025-11-27 17:21:29.721132,91545,0.0004918032786884741,2025-11-27,2025-11-27 17:21:29
2025-11-27 17:24:06.919619,91545,0.0,2025-11-27,2025-11-27 17:24:06
2025-11-27 17:25:07.041087,91517,-0.00030586050576220103,2025-11-27,2025-11-27 17:25:07
2025-11-27 17:25:30.323937,91517,0.0,2025-11-27,2025-11-27 17:25:30
2025-11-27 17:28:39.618819,91535,0.0001966847689500728,2025-11-27,2025-11-27 17:28:39
2025-11-27 17:31:29.237836,91524,-0.0001201726115693802,2025-11-27,2025-11-27 17:31:29
2025-11-27 17:34:28.868201,91565,0.0004479699313841845,2025-11-27,2025-11-27 17:34:28
2025-11-27 17:36:34.898906,91503,-0.0006771146180308829,2025-11-27,2025-11-27 17:36:34
2025-11-27 17:39:24.589087,91505,2.1857206867537116e-05,2025-11-27,2025-11-27 17:39:24
2025-11-27 17:41:25.714722,91485,-0.00021856729140479203,2025-11-27,2025-11-27 17:41:25
2025-11-27 17:43:54.936868,91445,-0.0004372301470186857,2025-11-27,2025-11-27 17:43:54
2025-11-27 17:46:05.483217,91295,-0.0016403302531576847,2025-11-27,2025-11-27 17:46:05
2025-11-27 17:49:14.188153,91313,0.00019716304288297515,2025-11-27,2025-11-27 17:49:14
2025-11-27 17:52:21.337361,91341,0.0003066376091027667,2025-11-27,2025-11-27 17:52:21
2025-11-27 17:57:50.493370,91251,-0.0009853187506158045,2025-11-27,2025-11-27 17:57:50
2025-11-27 18:00:50.079472,91313,0.0006794446088262962,2025-11-27,2025-11-27 18:00:50
2025-11-27 18:03:50.081053,91416,0.0011279883477708363,2025-11-27,2025-11-27 18:03:50
2025-11-27 18:28:13.642356,91410,-6.563402467840707e-05,2025-11-27,2025-11-27 18:28:13
2025-11-27 18:31:13.194768,91408,-2.187944426212951e-05,2025-11-27,2025-11-27 18:31:13
2025-11-27 18:32:17.429222,91378,-0.00032819884474011296,2025-11-27,2025-11-27 18:32:17
2025-11-27 18:35:25.864867,91249,-0.0014117183567160518,2025-11-27,2025-11-27 18:35:25
2025-11-27 18:37:31.891736,91260,0.00012054926629323504,2025-11-27,2025-11-27 18:37:31
2025-11-27 18:40:06.042935,91324,0.0007012930089853597,2025-11-27,2025-11-27 18:40:06
2025-11-27 18:43:05.898507,91337,0.0001423503131707804,2025-11-27,2025-11-27 18:43:05
2025-11-27 18:46:16.711835,91395,0.0006350110032078415,2025-11-27,2025-11-27 18:46:16
2025-11-27 18:49:24.943903,91339,-0.0006127249849554595,2025-11-27,2025-11-27 18:49:24
2025-11-27 18:52:06.055098,91275,-0.000700686453760202,2025-11-27,2025-11-27 18:52:06
2025-11-27 18:55:14.523501,91299,0.0002629416598192158,2025-11-27,2025-11-27 18:55:14
2025-11-27 18:58:24.712133,91298,-1.0953022486548392e-05,2025-11-27,2025-11-27 18:58:24
2025-11-27 19:01:05.941540,91316,0.00019715656421825933,2025-11-27,2025-11-27 19:01:05
2025-11-27 19:07:55.950164,91219,-0.0010622453896359518,2025-11-27,2025-11-27 19:07:55
2025-11-27 19:10:55.425014,91267,0.0005262061631896575,2025-11-27,2025-11-27 19:10:55
2025-11-27 20:21:19.478896,90868,-0.004371788269582622,2025-11-27,2025-11-27 20:21:19
2025-11-27 20:24:18.648465,90827,-0.0004512039441827431,2025-11-27,2025-11-27 20:24:18
2025-11-27 20:27:18.605674,90943,0.0012771532694022536,2025-11-27,2025-11-27 20:27:18
2025-11-27 20:30:18.517211,90938,-5.497949264920976e-05,2025-11-27,2025-11-27 20:30:18
2025-11-27 20:33:18.786661,90963,0.00027491257780032363,2025-11-27,2025-11-27 20:33:18
2025-11-27 20:34:19.661045,90957,-6.596088519505994e-05,2025-11-27,2025-11-27 20:34:19
2025-11-27 20:35:21.211797,90860,-0.0010664379871807572,2025-11-27,2025-11-27 20:35:21
2025-11-27 20:37:58.028927,90951,0.0010015408320493968,2025-11-27,2025-11-27 20:37:58
2025-11-27 20:41:07.036846,91000,0.0005387516354959931,2025-11-27,2025-11-27 20:41:07
2025-11-27 20:44:12.179876,91015,0.00016483516483511984,2025-11-27,2025-11-27 20:44:12
2025-11-27 20:47:21.167435,91027,0.00013184639894525674,2025-11-27,2025-11-27 20:47:21
2025-11-27 20:50:29.255078,90956,-0.0007799883551034004,2025-11-27,2025-11-27 20:50:29
2025-11-27 20:52:58.412476,90928,-0.0003078411539645387,2025-11-27,2025-11-27 20:52:58
2025-11-27 20:56:06.460912,90882,-0.0005058947738870723,2025-11-27,2025-11-27 20:56:06
2025-11-27 21:00:11.777277,90844,-0.00041812460113110905,2025-11-27,2025-11-27 21:00:11
2025-11-27 21:03:20.374908,90811,-0.00036326009422749106,2025-11-27,2025-11-27 21:03:20
2025-11-27 21:05:31.119041,90849,0.000418451509178297,2025-11-27,2025-11-27 21:05:31
2025-11-27 21:08:39.963717,90829,-0.0002201455161862098,2025-11-27,2025-11-27 21:08:39
2025-11-27 21:10:57.991342,90760,-0.0007596692686256956,2025-11-27,2025-11-27 21:10:57
2025-11-27 21:13:58.206734,90783,0.0002534156015865374,2025-11-27,2025-11-27 21:13:58
2025-11-27 21:17:05.423159,90853,0.0007710694733595869,2025-11-27,2025-11-27 21:17:05
2025-11-27 21:21:18.822841,90820,-0.0003632241092754729,2025-11-27,2025-11-27 21:21:18
2025-11-27 21:23:24.893351,90773,-0.000517507157013819,2025-11-27,2025-11-27 21:23:24
2025-11-27 21:26:32.826387,90767,-6.609895012832379e-05,2025-11-27,2025-11-27 21:26:32
2025-11-27 21:28:58.049409,90783,0.00017627551863563795,2025-11-27,2025-11-27 21:28:58
2025-11-27 21:32:07.389940,90680,-0.0011345736536576556,2025-11-27,2025-11-27 21:32:07
2025-11-27 21:36:16.555455,90707,0.0002977503308336793,2025-11-27,2025-11-27 21:36:16
2025-11-27 21:38:26.931038,90805,0.0010804017330525717,2025-11-27,2025-11-27 21:38:26
2025-11-27 21:41:41.352011,90789,-0.00017620175100485636,2025-11-27,2025-11-27 21:41:41
2025-11-27 21:43:58.015887,90811,0.00024232010485847333,2025-11-27,2025-11-27 21:43:58
2025-11-27 21:47:08.256574,90830,0.0002092257545891485,2025-11-27,2025-11-27 21:47:08
2025-11-27 21:50:15.662645,90854,0.0002642298799955256,2025-11-27,2025-11-27 21:50:15
2025-11-27 21:53:26.394683,90848,-6.604002025223377e-05,2025-11-27,2025-11-27 21:53:26
2025-11-27 21:56:34.362576,90892,0.0004843254667137309,2025-11-27,2025-11-27 21:56:34
2025-11-27 21:58:58.055318,91107,0.002365444703604336,2025-11-27,2025-11-27 21:58:58
2025-11-27 22:02:06.161881,91050,-0.000625637986104266,2025-11-27,2025-11-27 22:02:06
2025-11-27 22:05:14.853886,91001,-0.0005381658429434166,2025-11-27,2025-11-27 22:05:14
2025-11-27 22:08:25.426644,90968,-0.000362633377655186,2025-11-27,2025-11-27 22:08:25
2025-11-27 22:11:35.816334,91030,0.0006815583501891265,2025-11-27,2025-11-27 22:11:35
2025-11-27 22:13:58.013950,91141,0.0012193782269580566,2025-11-27,2025-11-27 22:13:58
2025-11-27 22:30:37.454255,91202,0.000669292634489338,2025-11-27,2025-11-27 22:30:37
2025-11-27 22:32:44.634303,91168,-0.000372798842130706,2025-11-27,2025-11-27 22:32:44
2025-11-27 22:34:51.822738,91233,0.0007129694629695038,2025-11-27,2025-11-27 22:34:51
2025-11-27 22:36:20.957377,91273,0.0004384378459547644,2025-11-27,2025-11-27 22:36:20
2025-11-27 22:38:29.280948,91204,-0.0007559738367315383,2025-11-27,2025-11-27 22:38:29
2025-11-27 22:41:28.808913,91190,-0.00015350203938424567,2025-11-27,2025-11-27 22:41:28
2025-11-27 22:44:37.325983,91111,-0.0008663230617391715,2025-11-27,2025-11-27 22:44:37
2025-11-27 23:00:33.404320,91192,0.0008890254744213788,2025-11-27,2025-11-27 23:00:33
2025-11-27 23:02:38.196825,91190,-2.1931748398928974e-05,2025-11-27,2025-11-27 23:02:38
2025-11-27 23:05:15.547469,91124,-0.0007237635705669154,2025-11-27,2025-11-27 23:05:15
2025-11-27 23:07:21.033658,91147,0.0002524033185549168,2025-11-27,2025-11-27 23:07:21
2025-11-27 23:09:48.254314,91163,0.00017554061022306833,2025-11-27,2025-11-27 23:09:48
2025-11-27 23:13:01.149186,91306,0.001568618847558767,2025-11-27,2025-11-27 23:13:01
2025-11-27 23:16:24.190728,91334,0.0003066611175608358,2025-11-27,2025-11-27 23:16:24
2025-11-27 23:19:29.450140,91388,0.000591236560317121,2025-11-27,2025-11-27 23:19:29
2025-11-27 23:24:39.955963,91312,-0.0008316190309449745,2025-11-27,2025-11-27 23:24:39
2025-11-27 23:27:55.524258,91373,0.0006680392500437726,2025-11-27,2025-11-27 23:27:55
2025-11-27 23:30:39.473977,91361,-0.00013132982390862136,2025-11-27,2025-11-27 23:30:39
2025-11-27 23:33:39.505979,91420,0.0006457897790086431,2025-11-27,2025-11-27 23:33:39
2025-11-28 17:10:30.390839,90933,-0.005327061912054232,2025-11-28,2025-11-28 17:10:30
2025-11-28 17:13:41.038925,90945,0.000131965293127978,2025-11-28,2025-11-28 17:13:41
2025-11-28 17:16:25.771684,90860,-0.0009346308208257881,2025-11-28,2025-11-28 17:16:25
2025-11-28 17:19:41.300548,90855,-5.5029716046650634e-05,2025-11-28,2025-11-28 17:19:41
2025-11-28 17:22:25.657475,90873,0.0001981178801386818,2025-11-28,2025-11-28 17:22:25
2025-11-28 17:28:33.567078,90890,0.0001870742684846327,2025-11-28,2025-11-28 17:28:33
2025-11-28 17:43:28.522181,90999,0.0011992518428869392,2025-11-28,2025-11-28 17:43:28
2025-11-28 17:46:39.349478,90998,-1.0989131748684322e-05,2025-11-28,2025-11-28 17:46:39
2025-11-28 17:49:28.011003,91049,0.0005604518780633061,2025-11-28,2025-11-28 17:49:28
2025-11-28 17:52:37.126350,91053,4.393238805477928e-05,2025-11-28,2025-11-28 17:52:37
2025-11-28 17:55:28.201663,91099,0.0005052002679757361,2025-11-28,2025-11-28 17:55:28
2025-11-28 17:56:31.156414,91113,0.0001536789646428005,2025-11-28,2025-11-28 17:56:31
2025-11-28 17:59:41.711836,91110,-3.2926146653067256e-05,2025-11-28,2025-11-28 17:59:41
2025-11-28 18:01:52.858590,91090,-0.0002195148721325646,2025-11-28,2025-11-28 18:01:52
2025-11-28 18:05:43.534982,91195,0.0011527061148315365,2025-11-28,2025-11-28 18:05:43
2025-11-28 18:07:54.851273,91181,-0.00015351718844236473,2025-11-28,2025-11-28 18:07:54
2025-11-28 18:10:41.646763,91080,-0.0011076869084567509,2025-11-28,2025-11-28 18:10:41
2025-11-28 18:13:41.636672,91125,0.000494071146245112,2025-11-28,2025-11-28 18:13:41
2025-11-28 18:16:41.615502,91150,0.0002743484224965176,2025-11-28,2025-11-28 18:16:41
2025-11-28 18:19:41.648001,91116,-0.0003730115194734429,2025-11-28,2025-11-28 18:19:41
2025-11-28 18:22:41.680756,91077,-0.00042802581324907774,2025-11-28,2025-11-28 18:22:41
2025-11-28 18:25:41.626920,91073,-4.391888182531112e-05,2025-11-28,2025-11-28 18:25:41
2025-11-28 18:28:41.609267,91039,-0.0003733268916144006,2025-11-28,2025-11-28 18:28:41
2025-11-28 18:31:41.629854,91012,-0.00029657619262069,2025-11-28,2025-11-28 18:31:41
2025-11-28 18:34:41.636709,90974,-0.00041752735902955695,2025-11-28,2025-11-28 18:34:41
2025-11-28 18:37:41.636650,90994,0.00021984303207500666,2025-11-28,2025-11-28 18:37:41
2025-11-28 18:40:41.645677,91041,0.000516517572587194,2025-11-28,2025-11-28 18:40:41
2025-11-28 18:43:41.677673,90997,-0.0004832987335375849,2025-11-28,2025-11-28 18:43:41
2025-11-28 18:46:41.643766,91025,0.0003077024517292859,2025-11-28,2025-11-28 18:46:41
2025-11-28 19:01:22.156387,90906,-0.0013073331502334584,2025-11-28,2025-11-28 19:01:22
2025-11-28 19:04:34.729358,90913,7.700261808896158e-05,2025-11-28,2025-11-28 19:04:34
2025-11-28 19:07:21.355257,90959,0.0005059782429355231,2025-11-28,2025-11-28 19:07:21
2025-11-28 19:10:31.817957,90940,-0.00020888532195828535,2025-11-28,2025-11-28 19:10:31
2025-11-28 19:13:21.478008,90895,-0.0004948317572025518,2025-11-28,2025-11-28 19:13:21
2025-11-28 19:16:21.394333,90891,-4.400682105731857e-05,2025-11-28,2025-11-28 19:16:21
2025-11-28 19:19:21.392379,90900,9.90197049213215e-05,2025-11-28,2025-11-28 19:19:21
2025-11-28 19:22:21.383433,90817,-0.0009130913091308646,2025-11-28,2025-11-28 19:22:21
2025-11-28 19:25:21.350044,90896,0.0008698811896450387,2025-11-28,2025-11-28 19:25:21
2025-11-28 19:28:21.346842,90935,0.0004290617848969891,2025-11-28,2025-11-28 19:28:21
2025-11-28 19:31:21.386726,90850,-0.0009347336009237761,2025-11-28,2025-11-28 19:31:21
2025-11-28 19:34:21.338031,90898,0.0005283434232250528,2025-11-28,2025-11-28 19:34:21
2025-11-28 19:37:21.321443,90856,-0.0004620563708772618,2025-11-28,2025-11-28 19:37:21
